ClDiv,1-Mon,,2-Mon,,3-Mon,4-Mon,,5-Mon,6-Mon
101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
102,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
201,4.12,,5.25,,6.15,6.56,,6.99,7.34
202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
203,4.45,,5.94,,7.18,7.71,,7.74,8.05
204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
206,3.49,,4.33,,5.31,5.57,,5.83,5.98
207,3.3,,4.15,,4.74,4.97,,5.32,5.85
301,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
304,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
305,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
306,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
307,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
308,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
309,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
401,20.49,,25.46,,28.9,29.88,,29.8,29.14
402,22.95,,28.38,,31.11,31.78,,31.17,30.1
403,10.54,,13.18,,14.99,15.69,,16.09,16.3
404,19.13,,22.35,,24.28,24.43,,23.27,22.34
405,17.45,,21.15,,23.52,24.25,,23.46,22.66
406,19.6,,22.85,,24.28,23.49,,22.14,21.03
407,7.31,,8.64,,9.22,9.39,,9.62,9.59
501,2.19,,2.71,,3.77,5.35,,7.34,8.86
502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
505,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
603,9.8,,11.82,,15.88,19.68,,23.45,26.52
701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
801,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
902,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
904,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
905,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
906,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
907,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
908,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
909,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1002,6.15,,7.37,,9.06,10.95,,13.35,15.46
1003,5.95,,7.35,,9.15,11.05,,13.19,15.04
1004,9.28,,11.24,,13.18,14.47,,16.19,17.77
1005,6.21,,7.26,,8.29,9.1,,9.96,10.76
1006,4.85,,5.42,,6.44,7.49,,8.83,10.14
1007,4.44,,5.24,,6.11,6.81,,7.69,8.54
1008,2.16,,2.44,,2.89,3.51,,4.87,6.31
1009,5.43,,6.23,,7.06,7.88,,9.2,10.59
1010,4.4,,5.63,,6.65,7.58,,9.03,10.52
1101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1102,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1103,6.66,,7.33,,9.97,13.56,,17.55,21.72
1104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1109,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1203,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1208,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1209,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1301,4.26,,5.15,,6.92,9.41,,12.96,17.32
1302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1304,4.22,,4.94,,6.81,9.4,,13.06,17.51
1305,4.13,,4.79,,6.63,9.49,,13.55,18.12
1306,5.41,,6.02,,8.04,11.21,,14.83,19.23
1307,3.88,,4.53,,6.51,9.26,,13.13,17.74
1308,4.66,,5.14,,7.1,10.08,,14.2,18.62
1309,6.32,,6.78,,9.06,12.34,,16.31,20.61
1401,3.07,,3.53,,5.25,7.32,,10.8,14.14
1402,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1404,2.43,,2.85,,4.43,6.44,,9.52,12.72
1405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1406,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1407,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1408,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1409,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1501,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1605,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1606,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1607,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1608,9.58,,13.93,,18.01,21.87,,26.09,31.26
1609,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1703,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1801,7.81,,10.59,,14.39,17.34,,20.59,23.68
1802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1808,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1902,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
1903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2002,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2003,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2004,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2005,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2006,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2007,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2008,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2009,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2010,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2102,2.76,,3.03,,3.82,5.64,,8.42,12.41
2103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2107,2.57,,3.24,,4.73,6.91,,10.08,13.99
2108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2109,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2203,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2208,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2209,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2210,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2301,4.94,,5.51,,7.71,10.82,,15.22,19.97
2302,5.42,,6.37,,9.04,12.35,,16.51,20.48
2303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2304,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2305,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2306,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2401,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2402,3.42,,4.02,,5.18,6.46,,8.42,10.86
2403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2404,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2406,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2407,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2501,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2502,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2503,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2505,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2506,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2507,3.11,,3.5,,4.93,7.07,,10.57,13.7
2508,2.72,,3.42,,5.29,7.7,,11.49,15.38
2509,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2601,6.65,,7.53,,8.01,8.33,,9.02,9.88
2602,3.69,,4.52,,5.62,6.57,,7.71,8.76
2603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2801,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2902,2.33,,3.03,,4.08,5.02,,6.47,7.74
2903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2904,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2905,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
2906,3.22,,4,,4.85,5.43,,6.42,7.65
2907,2.56,,2.77,,3.17,3.83,,5.49,7.15
2908,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3002,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3003,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3004,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3005,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3006,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3007,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3008,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3009,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3010,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3101,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3102,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3203,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3205,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3208,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3209,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3301,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3304,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3305,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3306,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3307,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3308,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3309,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3310,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3401,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3402,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3404,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3406,6.91,,9.25,,12.68,16.65,,22.26,26.72
3407,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3408,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3409,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3501,29.68,,35.81,,42.85,45.94,,47.78,48.6
3502,16.04,,20.55,,25.33,27.87,,29.88,31.27
3503,12.84,,15.54,,18.28,19.71,,20.94,21.56
3504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3505,10.04,,12.47,,14.89,15.85,,17.06,18.04
3506,8.01,,9.18,,10.31,11.05,,11.83,12.52
3507,5.15,,6.06,,6.95,7.51,,8.54,9.55
3508,7.52,,8.64,,9.89,11,,12.41,13.77
3509,5.56,,6.27,,6.94,7.52,,8.41,9.46
3601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3605,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3606,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3607,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3608,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3609,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3610,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3801,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3803,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3901,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3902,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3903,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3904,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3905,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3906,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3907,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3908,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
3909,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4001,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4002,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4003,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4004,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4101,3.34,,3.8,,4.6,5.97,,8.98,11.72
4102,5.49,,6.4,,7.48,9.72,,13.55,16.59
4103,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4104,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4105,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4106,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4107,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4108,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4109,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4110,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4201,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4202,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4203,5.38,,6.83,,8.34,9.93,,11.33,12.29
4204,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4205,7.82,,9.34,,10.81,12.31,,13.56,14.4
4206,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4207,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4301,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4302,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4303,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4401,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4402,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4403,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4404,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4405,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4406,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4501,36.37,,42.75,,49.92,53.76,,55.92,57.32
4502,9.27,,10.62,,11.97,13,,13.95,14.9
4503,10.61,,14.28,,17.6,19.73,,21.4,22.96
4504,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4505,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4506,12.33,,14.55,,16.45,17.06,,17.59,18.13
4507,4.06,,5.11,,5.95,6.59,,7.59,8.54
4508,3.54,,4.4,,5.07,5.48,,6.1,6.83
4509,6.55,,7.69,,9.07,10.24,,11.78,13.28
4510,5.67,,6.85,,8.09,9.09,,10.27,11.36
4601,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4602,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4603,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4604,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4605,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4606,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4701,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4702,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4703,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4704,3.39,,3.93,,5.19,7.64,,11.23,15.52
4705,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4706,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4707,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4708,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4709,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4801,5.92,,6.59,,7.58,8.52,,9.99,11.91
4802,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4803,3.3,,3.85,,4.56,5.49,,6.71,7.81
4804,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4805,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4806,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4807,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4808,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4809,-9.99,,-9.99,,-9.99,-9.99,,-9.99,-9.99
4810,2.46,,3.03,,4.11,5.5,,6.98,8.3
